tempo (s),entrada (V),saida (V)
76.2241051197052,3.5,1.37
76.32252550125122,3.5,1.38
76.42483043670654,3.5,1.39
76.52714729309082,3.5,1.4
76.62559843063354,3.5,1.41
76.72785711288452,3.5,1.4
76.82626461982727,3.5,1.41
76.92864489555359,3.5,1.38
77.0310389995575,3.5,1.39
77.12948513031006,3.5,1.37
77.23199033737183,3.5,1.38
77.3340995311737,3.5,1.39
77.43263268470764,3.5,1.4
77.5348756313324,3.5,1.41
77.63725161552429,3.5,1.4
77.73555588722229,3.5,1.41
77.83789873123169,3.5,1.38
77.940260887146,3.5,1.39
78.03855991363525,3.5,1.37
78.14101099967957,3.5,1.38
78.24337697029114,3.5,1.38
78.34215831756592,3.5,1.39
78.4440484046936,3.5,1.4
78.54643106460571,3.5,1.4
78.64477872848511,3.5,1.41
78.7472414970398,3.5,1.38
78.84950709342957,3.5,1.39
78.94798469543457,3.5,1.36
79.05035448074341,3.5,1.38
79.15259671211243,3.5,1.37
79.25107312202454,3.5,1.38
79.35340738296509,3.5,1.39
79.45567107200623,3.5,1.4
79.55418038368225,3.5,1.41
79.65659594535828,3.5,1.38
79.75883769989014,3.5,1.39
79.85730767250061,3.5,1.36
79.95960450172424,3.5,1.37
80.06189727783203,3.5,1.36
80.16035032272339,3.5,1.37
80.26319622993469,3.5,1.39
80.36520886421204,3.5,1.39
80.464111328125,4.0,1.4
80.56585311889648,4.0,1.41
80.66812491416931,4.0,1.41
80.76656198501587,4.0,1.39
80.868821144104,4.0,1.4
80.97153854370117,4.0,1.38
81.06985974311829,4.0,1.4
81.17227911949158,4.0,1.41
81.27464532852173,4.0,1.41
81.37278509140015,4.0,1.42
81.4749493598938,4.0,1.42
81.57731342315674,4.0,1.43
81.6756603717804,4.0,1.4
81.77809071540833,4.0,1.41
81.8803653717041,4.0,1.4
81.97874975204468,4.0,1.41
82.08111453056335,4.0,1.42
82.18346500396729,4.0,1.42
82.2818992137909,4.0,1.43
82.38423895835876,4.0,1.43
82.48657703399658,4.0,1.43
82.58494830131531,4.0,1.4
82.6873071193695,4.0,1.41
82.78965425491333,4.0,1.41
82.88818907737732,4.0,1.41
82.99047517776489,4.0,1.42
83.09276938438416,4.0,1.43
83.19162392616272,4.0,1.43
83.29360246658325,4.0,1.43
83.395925283432,4.0,1.44
83.49426007270813,4.0,1.41
83.59665107727051,4.0,1.41
83.69893646240234,4.0,1.41
83.7973620891571,4.0,1.41
83.89967393875122,4.0,1.42
84.00202322006226,4.0,1.43
84.10041570663452,4.0,1.44
84.20277738571167,4.0,1.43
84.30512595176697,4.0,1.44
84.40349245071411,4.0,1.41
84.50590229034424,4.0,1.42
84.60417008399963,4.0,1.41
84.706552028656,4.0,1.41
84.80891227722168,4.0,1.42
84.90726733207703,4.0,1.43
85.00969886779785,4.0,1.44
85.11208128929138,4.0,1.43
85.21039247512817,4.0,1.44
